;municipio_paciente;Total
652;FREDERICO WESTPHALEN;2
653;FREI INOCENCIO;2
654;FRUTAL;3106
655;FUNILANDIA;7
656;GADO BRAVO;6
657;GALILEIA;1
658;GARANHUNS;3233
659;GARCA;1
660;GARRAFAO DO NORTE;166266
661;GARUVA;2
662;GASTAO VIDIGAL;6
663;GAVIAO;3834
664;GENERAL CARNEIRO;3
665;GIRAU DO PONCIANO;38
666;GLORIA;16633
667;GODOFREDO VIANA;2
668;GOIANA;3
669;GOIANESIA;66
670;GOIANESIA DO PARA;32
671;GOIANIA;231333331612126362626362313221312662631353227
672;GOIANIRA;7238
673;GOIAS;2
674;GOIATINS;1131
675;GOVERNADOR DIX-SEPT ROSADO;2
676;GOVERNADOR LINDENBERG;2
677;GOVERNADOR LUIZ ROCHA;62
678;GOVERNADOR NUNES FREIRE;26266116662216126121
679;GOVERNADOR VALADARES;3238238
680;GRAJAU;18
681;GRAO MOGOL;3
682;GRAVATA;3
683;GRAVATAI;22666116322
684;GUACUI;622
685;GUAIBA;1132
686;GUAIRA;2
687;GUAJARA-MIRIM;3313
688;GUAJERU;7
689;GUANAMBI;1333333
690;GUANHAES;1066
691;GUAPIACU;6
692;GUAPIARA;666
693;GUAPO;72
694;GUARABIRA;32
695;GUARACIABA;3333
696;GUARACIABA DO NORTE;321321227
697;GUARANESIA;6
698;GUARANTA DO NORTE;2
699;GUARAPARI;1121
700;GUARAPUAVA;338
701;GUARAREMA;61612
702;GUARATINGUETA;66
703;GUARDA-MOR;6
704;GUARIBA;2
705;GUARUJA;6226626727666211
706;GUARULHOS;66116166612167766666676662661166622666271222616626621612776612626662662
707;GUAXUPE;31
708;GUIA LOPES DA LAGUNA;312
709;GUIRICEMA;3
710;GURJAO;38
711;GURUPA;16
712;HELIOPOLIS;6
713;HIDROLANDIA;6
714;HORIZONTE;6
715;HORTOLANDIA;2126
716;HUMAITA;16666
717;HUMBERTO DE CAMPOS;2
718;IATI;2
719;IBARAMA;2
720;IBATE;66
721;IBATEGUARA;2
722;IBIA;6
723;IBIAPINA;63
724;IBICARAI;1
725;IBIMIRIM;106
726;IBIPORA;2
727;IBIRA;1
728;IBIRACI;6
729;IBIRAPITANGA;2
730;IBIRAREMA;2
731;IBIRITE;212213573938353534
732;IBOTIRAMA;12
733;ICATU;3
734;IGAPORA;6
735;IGARAPAVA;2
736;IGARAPE;38
737;IGARAPE-ACU;102
738;IGARAPE-MIRI;21
739;IGARASSU;3133236
740;IGARATA;66
741;IGRAPIUNA;6
742;IGREJINHA;6
743;IGUAI;1
744;IGUARACI;1
745;IGUATAMA;32
746;IGUATEMI;2
747;IGUATU;362
748;ILHA COMPRIDA;6
749;ILHA DAS FLORES;22
750;ILHEUS;3321112
751;IMACULADA;3262
752;IMBE;36
753;IMBITUVA;21
754;IMPERATRIZ;31232
755;INACIOLANDIA;1
756;INAJA;32633
757;INDAIAL;22
758;INDAIATUBA;6
759;INDEPENDENCIA;102
760;INDIAROBA;638
761;INGAZEIRA;6
762;INHAMBUPE;32
763;INHANGAPI;321
764;INHAUMA;7
765;INHUMAS;17
766;INVALIDO;637
767;IPABA;2
768;IPANGUACU;62
769;IPATINGA;383838138387773838762383813838738273838381038
770;IPERO;622
771;IPIAU;7
772;IPIGUA;6
773;IPIRA;1239
774;IPIRANGA DO NORTE;2
775;IPIRANGA DO PIAUI;333
776;IPIXUNA;212
777;IPIXUNA DO PARA;2
778;IPOJUCA;6321
779;IPORA;2
780;IPU;323382
781;IPUACU;2
782;IPUBI;3
783;IPUEIRAS;26
784;IRACEMA;33
785;IRAMAIA;6
786;IRANDUBA;6131621223222
787;IRAQUARA;63
788;IRATI;13222
789;IRAUCUBA;2
790;IRECE;62661662
791;IRITUIA;1132
792;ITABAIANA;662666
793;ITABERABA;7
794;ITABERAI;3
795;ITABIRA;2212
796;ITABIRITO;12
797;ITABORAI;33335112
798;ITABUNA;26123832
799;ITACAMBIRA;6
800;ITACOATIARA;3211127212677666723661632116362612377616116
801;ITAETE;1
802;ITAGIBA;6
803;ITAGUACU DA BAHIA;6
804;ITAGUAI;662610210
805;ITAI;26
806;ITAIBA;2
807;ITAIPE;2
808;ITAITINGA;22
809;ITAITUBA;22116122
810;ITAJA;61
811;ITAJAI;3811356387
812;ITAJUIPE;38
813;ITAMARAJU;72383838381
814;ITAMARATI;6161
815;ITAMBE;321633
816;ITANHAEM;666662622
817;ITANHEM;1
818;ITAOBIM;16
819;ITAOCARA;1
820;ITAPAGE;661
821;ITAPARICA;13838
822;ITAPEBI;2
823;ITAPECERICA DA SERRA;662666671
824;ITAPECURU MIRIM;31
825;ITAPEMA;2
826;ITAPEMIRIM;6
827;ITAPERUCU;336
828;ITAPERUNA;1
829;ITAPETININGA;162666
830;ITAPEVA;2
831;ITAPEVI;662266626362122126726211626627
832;ITAPIPOCA;2112221
833;ITAPIRANGA;626
834;ITAPITANGA;6
835;ITAPOA;1
836;ITAPOLIS;2
837;ITAPORANGA D'AJUDA;16266
838;ITAPOROROCA;38
839;ITAQUAQUECETUBA;1666666616666626626661661176611622227216
840;ITAQUIRAI;3
841;ITARARE;66
842;ITAREMA;21
843;ITARIRI;6
844;ITARUMA;6
845;ITATIRA;1
846;ITAU DE MINAS;2
847;ITAUBAL;2210
848;ITINGA;33
849;ITINGA DO MARANHAO;1
850;ITIRAPINA;2
851;ITIUBA;23
852;ITORORO;1166
853;ITU;16122
854;ITUIUTABA;22
855;ITUMBIARA;7
856;ITUMIRIM;38
857;ITUPEVA;2
858;ITURAMA;2
859;ITUVERAVA;6
860;IVAIPORA;1
861;IVINHEMA;1
862;IVOTI;6
863;JABOATAO DOS GUARARAPES;666266666622266666263821111222
864;JABOTICABAL;6
865;JABOTICATUBAS;16
866;JACARACI;6
867;JACARAU;612
868;JACAREI;666122616
869;JACI;2
870;JACINTO;1
871;JACOBINA;338
872;JACUNDA;2
873;JACUTINGA;38
874;JAGUAPITA;3838
875;JAGUARAO;6
876;JAGUARETAMA;222
877;JAGUARIBARA;36
878;JAGUARIBE;2
879;JAGUARIPE;2
880;JAGUARIUNA;262
881;JAGUARUANA;32
882;JALES;62
883;JANAUBA;223
884;JANDIRA;266
885;JANGADA;66
886;JANUARIA;23323827
887;JAPARATUBA;662
888;JAPERI;22233121
889;JAPIRA;6
890;JAPONVAR;38
891;JAPORA;21
892;JAQUEIRA;343
893;JAQUIRANA;6
894;JARAGUA;2
895;JARAGUA DO SUL;22211
896;JARDIM;32332138383381
897;JARU;2243
898;JATAI;6611111111
899;JATOBA;6
900;JAU;66166621
901;JEQUIE;2732767777
902;JEQUITIBA;638
903;JEREMOABO;1236
904;JERICO;2
905;JERUMENHA;23
906;JI-PARANA;136
907;JIQUIRICA;3
908;JOACABA;1
909;JOANESIA;2
910;JOAO ALFREDO;3
911;JOAO CAMARA;66
912;JOAO DOURADO;2
913;JOAO LISBOA;26
914;JOAO MONLEVADE;23
915;JOAO NEIVA;6
916;JOAO PESSOA;55555432555555255555555555535555555565553553255552265253238
917;JOAO PINHEIRO;3
918;JOAQUIM GOMES;62232
919;JOAQUIM PIRES;266122
920;JOCA CLAUDINO;6
921;JOINVILLE;1121172126
922;JORDAO;616666
923;JOSE DE FREITAS;66
924;JOSE GONCALVES DE MINAS;2
925;JUARA;22
926;JUATUBA;1
927;JUAZEIRINHO;6666
928;JUAZEIRO;37326222387738
929;JUAZEIRO DO NORTE;616131
930;JUCATI;66
931;JUCURUCU;2
932;JUCURUTU;6
933;JUIZ DE FORA;26122326333372
934;JUNCO DO SERIDO;33
935;JUNDIAI;166162166
936;JUNQUEIRO;212
937;JUPI;3
938;JUQUITIBA;2
939;JUREMA;3333
940;JURUAIA;12
941;JURUTI;1226
942;JUSSARA;63
943;JUTAI;2
944;LABREA;6
945;LADARIO;626
946;LAGARTO;12613838
947;LAGES;3271
948;LAGO VERDE;1
949;LAGOA DA CANOA;21
950;LAGOA DO BARRO DO PIAUI;66
951;LAGOA DO MATO;2
952;LAGOA DOURADA;2
953;LAGOA FORMOSA;33
954;LAGOA GRANDE DO MARANHAO;2
955;LAGOA NOVA;7
956;LAGOA SALGADA;2
957;LAGOA SANTA;32
958;LAGOA VERMELHA;1
